,uuid,employment_status,bank_name,active_bank_accounts,balance
193700,0110c686-c6a0-4250-8dc5-832256a24f3d,FT_EMPLOYED,ABSA,1,28464
464600,02fb16d1-1937-4e4e-b01c-624f0930f49f,FT_EMPLOYED,CAPITEC,0,0
253700,04bb70b2-65d8-4b37-af87-507d58025153,FT_EMPLOYED,FIRST_NATIONAL_BANK,0,0
500700,086abd29-f9e3-4bfd-b7de-4a5795f5a4b8,FT_EMPLOYED,ABSA,2,27659
337200,0f331b0b-f1a2-4e5d-8284-33ca9bf41254,FT_EMPLOYED,CAPITEC,1,4059
351300,1bc25bc6-9a63-4ea7-ab83-fb764399da7b,FT_EMPLOYED,CAPITEC,0,0
792600,1c609037-24c4-4d16-b0e6-db030039234d,FT_EMPLOYED,ABSA,1,639
381700,336b9f63-aa33-4a4c-886e-3f7211ae9137,FT_EMPLOYED,CAPITEC,0,0
373500,3da8c835-1ee2-41df-8d92-60c8f638ea5a,FT_EMPLOYED,ABSA,0,0
681000,3dc87c55-fce3-4a36-b3fd-f96d79710cca,FT_EMPLOYED,NEDBANK,0,0
630900,3de02e8b-c922-4aae-8740-a4f893a0d2c5,FT_EMPLOYED,STANDARD_BANK,,
575500,3ed68888-5195-4afc-b8b5-5f099bfd39b8,,,,
576200,405e0215-a0db-4425-8f6c-2df5a0a003df,FT_EMPLOYED,ABSA,2,92562
957300,4a8dcc6f-2ccf-4275-94b8-33b09ab05588,FT_EMPLOYED,STANDARD_BANK,,
335700,4d14f02f-836e-4fad-9889-cf0eb67e7709,SELF_EMPLOYED,STANDARD_BANK,0,0
847000,4db76b39-e949-472b-a653-dbd80ffc0eac,FT_EMPLOYED,FIRST_NATIONAL_BANK,1,0
309300,4e161721-d29f-4e2c-83f1-24d914e4d3b1,FT_EMPLOYED,FIRST_NATIONAL_BANK,,
594200,59ff3dc6-a524-4d4e-87fc-b98604a59b94,FT_EMPLOYED,FIRST_NATIONAL_BANK,,
73300,5bf27533-f3c0-40d5-9102-43b50483556b,FT_EMPLOYED,NEDBANK,,
918200,5df5a22d-bfa0-4eb7-924e-4e8a1e80c999,FT_EMPLOYED,CAPITEC,,
844300,6d36aa63-e1c2-4a1e-bb7d-7c7acd8f9a36,SELF_EMPLOYED,ABSA,3,156642
495200,6f5d9bbd-b744-49bf-9e6d-76375e9b7d2c,UNEMPLOYED,FIRST_NATIONAL_BANK,1,12263
467000,7012e968-f7ea-4dbe-9a41-ffd3f580743c,FT_EMPLOYED,FIRST_NATIONAL_BANK,,
719600,705eff31-d65d-4a84-94f3-e3dd5155c48e,,,,
750600,70d3fa2d-2776-456d-b7c0-86d6f5cfd732,FT_EMPLOYED,ABSA,,
418300,73ff65a0-e0d0-444b-8246-2331b2d51d5d,FT_EMPLOYED,ABSA,1,12120
293200,77c58637-f1f4-4d0f-9934-e4d3e0a07ed3,,,,
31300,84b111a6-2747-441e-9db9-2d695bea8bab,SELF_EMPLOYED,NEDBANK,1,6723
821600,857fe2ba-2bc1-46cf-bb4d-2f51415e270d,FT_EMPLOYED,ABSA,0,0
426700,861e51b8-41db-4b5c-ac7d-8f4d39b950b2,WORK_AT_HOME,ABSA,2,1150144
703100,8915b870-4f5b-4df8-80eb-ae2e25853837,FT_EMPLOYED,STANDARD_BANK,3,1162264
655300,8a7cd396-4de6-4ca1-af38-4fcdc731a7e4,FT_EMPLOYED,ABSA,1,17820
160400,94653263-3ba4-4bdb-bc9a-8e9159dac322,FT_EMPLOYED,STANDARD_BANK,2,666490
553800,94b9c02e-1c09-479d-abfd-fad446dfdb60,SELF_EMPLOYED,OTHER,,
154600,979dfe0c-5374-48ee-80eb-7c4ef3143d78,FT_EMPLOYED,STANDARD_BANK,3,984212
943000,9e2dd9e0-ec9e-4739-8790-d435ab1306cc,,,,
479300,9e2ddc56-d2d8-4af1-a6b2-e1552dad7c9a,SELF_EMPLOYED,FIRST_NATIONAL_BANK,,
213200,a1e1e160-7de6-4e1a-b428-79ea2f765d57,UNEMPLOYED,CAPITEC,1,1486
319000,a5e12dd1-44a8-4da2-996e-284967eca57d,SELF_EMPLOYED,CAPITEC,,
938200,ab5a2fe6-f2c9-42a2-91eb-e20f2ca8e789,FT_EMPLOYED,FIRST_NATIONAL_BANK,0,0
404100,b4bf1fe4-830e-4b61-ac24-95c353f76bb2,UNEMPLOYED,CAPITEC,,
350700,b7890398-0a94-489d-b3db-3f9fb0b205e1,PT_EMPLOYED,CAPITEC,0,0
185800,b80e7284-adcb-4442-93ed-66d2e9e74431,PT_EMPLOYED,STANDARD_BANK,0,0
772000,bf8364fc-5cd1-4a0f-9dad-26e45b5ab6a7,FT_EMPLOYED,FIRST_NATIONAL_BANK,,
98800,bfcc1755-060b-49f0-8216-855b87182dc4,FT_EMPLOYED,NEDBANK,0,0
769000,c989b2d7-56e2-4a8b-ad88-521885e4b6c8,FT_EMPLOYED,ABSA,2,20589
646100,cc005e8d-00cd-45c8-8a48-5fd5913341b4,FT_EMPLOYED,CAPITEC,,
499000,d21f8721-a394-469d-beaa-a410a4a1874a,FT_EMPLOYED,FIRST_NATIONAL_BANK,0,0
750200,d7188482-6047-4b06-8b4a-df450ef6193e,FT_EMPLOYED,STANDARD_BANK,0,0
126700,db5217c0-a1c2-4b71-8080-106a2fbd2d44,FT_EMPLOYED,ABSA,1,3342
915500,e00c908a-d852-40f0-9bd1-a28151f9be66,FT_EMPLOYED,CAPITEC,,
736500,e272d78d-4964-4157-b9f3-95f11796c77e,FT_EMPLOYED,STANDARD_BANK,1,6736
135900,e7c20761-8cb4-47f7-80be-34e3f94c569f,FT_EMPLOYED,STANDARD_BANK,2,156256
410000,e80aa250-a8af-4436-b0ec-27d1a1a1a11e,FT_EMPLOYED,ABSA,,
891300,ebec598b-00b5-4fad-87c8-092a5388b1c7,FT_EMPLOYED,NEDBANK,0,0
740400,eccf71a6-40ac-4a4b-841b-67c4752f0696,FT_EMPLOYED,CAPITEC,0,0
387300,f238cb0d-86a0-4749-b791-9a3dbc292980,STUDENT,NEDBANK,0,0
536000,f6ec5d42-0879-4ff5-9cb0-936b76b35379,FT_EMPLOYED,CAPITEC,1,11461
136100,fd4e1337-115e-40a3-8648-1d47acd2fe91,FT_EMPLOYED,FIRST_NATIONAL_BANK,0,0
